SMILEScsa,VoltageCSA
N#Cc1c(C#N)cc(C#N)c(c12)/C(=N/S(=O)(=O)C)C=C(C#N)/C2=N\S(=O)(=O)C,3.471838856
N#Cc1c(C#N)cc(C#N)c(c12)C(=N\S(=O)(=O)C)\C(C#N)=CC\2=N/S(=O)(=O)C,3.455501131
N#Cc1c(C#N)ccc(c12)C(=N\S(=O)(=O)C)\C(C#N)=C(C#N)/C2=N\S(=O)(=O)C,3.632734422
CS(=O)(=O)/N=C1\C(C#N)=C(C#N)/C(=N\S(=O)(=O)C)c(c12)cc(C#N)cc2C#N,3.6507266
CS(=O)(=O)/N=C1\C(C#N)=C(C#N)/C(=N\S(=O)(=O)C)c(c12)c(C#N)ccc2C#N,3.670580037
CS(=O)(=O)/N=C1\C(C#N)=C(C#N)/C(=N\S(=O)(=O)C)c(c12)cc(C#N)c(C#N)c2,3.729519929
N#Cc1c(C#N)c(C#N)cc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.281576747
N#Cc1c(C#N)cc(C#N)c(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.203197031
N#Cc1c(C#N)ccc(c12)/C(=N/S(=O)(=O)C)C=C(C#N)/C2=N\S(=O)(=O)C,3.348375292
N#Cc1c(C#N)ccc(c12)C(=N\S(=O)(=O)C)\C(C#N)=CC\2=N/S(=O)(=O)C,3.345893612
N#Cc1cc(C#N)cc(c12)/C(=N/S(=O)(=O)C)C=C(C#N)/C2=N\S(=O)(=O)C,3.353545458
N#Cc1cc(C#N)cc(c12)C(=N\S(=O)(=O)C)\C(C#N)=CC\2=N/S(=O)(=O)C,3.394286366
N#Cc1ccc(C#N)c(c12)/C(=N/S(=O)(=O)C)C=C(C#N)/C2=N\S(=O)(=O)C,3.316113456
CS(=O)(=O)/N=C1\C(C#N)=C(C#N)/C(=N\S(=O)(=O)C)c(c12)cccc2C#N,3.501825819
N#Cc(c1)c(C#N)cc(c12)/C(=N/S(=O)(=O)C)C=C(C#N)/C2=N\S(=O)(=O)C,3.449503739
CS(=O)(=O)/N=C1\C(C#N)=C(C#N)/C(=N\S(=O)(=O)C)c(c12)ccc(C#N)c2,3.613501404
N#Cc1c(C#N)ccc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.077458594
N#Cc1cc(C#N)cc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.133503193
N#Cc1ccc(C#N)c(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.009832822
N#Cc1cccc(c12)/C(=N/S(=O)(=O)C)C=C(C#N)/C2=N\S(=O)(=O)C,3.198647285
N#Cc1cccc(c12)C(=N\S(=O)(=O)C)\C(C#N)=CC\2=N/S(=O)(=O)C,3.218914335
N#Cc(c1)c(C#N)cc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.247040038
CS(=O)(=O)/N=C1\C(C#N)=CC(=N/S(=O)(=O)C)\c(c12)ccc(C#N)c2,3.283644814
CS(=O)(=O)\N=C\1C=C(C#N)/C(=N\S(=O)(=O)C)c(c12)ccc(C#N)c2,3.260275663
CS(=O)(=O)/N=C1\C(C#N)=C(C#N)/C(=N\S(=O)(=O)C)c(c12)cccc2,3.461912137
N#Cc1cccc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.035476846
N#Cc(c1)ccc(c12)/C(=N/S(=O)(=O)C)C=CC\2=N/S(=O)(=O)C,3.091728252
CS(=O)(=O)/N=C1\C(C#N)=CC(=N/S(=O)(=O)C)\c(c12)cccc2,3.115924629
N#Cc1c(C#N)c(C#N)c(C#N)c(c12)C(=N\S(=O)(=O)C)\C(C#N)=C(C#N)/C2=N\S(=O)(=O)C,3.914405066
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)c(F)c(F)c(F)c2F,2.860932041
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)cc(F)c(F)c2F,2.910565635
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)c(F)cc(F)c2F,2.846455577
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)c(F)c(F)c(F)c2F,2.828256592
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)cc(F)c(F)c2F,2.889678164
Fc1c(F)c(F)cc(c12)/C(=N/S(=O)(=O)C)C(F)=CC\2=N/S(=O)(=O)C,2.884094385
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)c(F)cc(F)c2F,2.841285411
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)c(F)c(F)cc2F,2.826808946
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)ccc(F)c2F,2.864447754
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)cc(F)cc2F,2.871685987
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)c(F)ccc2F,2.822052393
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)cc(F)c(F)c2,2.951926963
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cc(F)c(F)c2F,2.963508135
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)c(F)cc(F)c2F,2.804473829
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)ccc(F)c2F,2.863206914
Fc1c(F)ccc(c12)/C(=N/S(=O)(=O)C)C(F)=CC\2=N/S(=O)(=O)C,2.856382295
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)cc(F)cc2F,2.84624877
Fc1cc(F)cc(c12)/C(=N/S(=O)(=O)C)C(F)=CC\2=N/S(=O)(=O)C,2.894434717
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)c(F)ccc2F,2.804887442
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)cccc2F,2.841492217
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)cc(F)c(F)c2,3.00135375
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)ccc(F)c2,2.920285547
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)ccc(F)c2F,2.926076133
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cc(F)cc2F,2.936416465
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)c(F)ccc2F,2.774280059
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)cccc2F,2.809850801
Fc1cccc(c12)/C(=N/S(=O)(=O)C)C(F)=CC\2=N/S(=O)(=O)C,2.835081211
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cc(F)c(F)c2,2.968264688
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)ccc(F)c2,2.9748825
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)cc(F)cc2,2.97240082
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)cccc2,2.890505391
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)cccc2F,2.902293369
CS(=O)(=O)\N=C\1C=CC(=N/S(=O)(=O)C)\c(c12)ccc(F)c2,2.939518565
CS(=O)(=O)\N=C\1C(F)=CC(=N/S(=O)(=O)C)\c(c12)cccc2,2.936623272
CS(=O)(=O)\N=C\1C(F)=C(F)C(=N/S(=O)(=O)C)\c(c12)c(F)c(F)c(F)c2F,2.887610098
