SMILESquinone,VoltageQuinone
C1=CC(=O)C(=O)c(c1c23)ccc2cccc3,2.635834186
c1cccc(c2C)c1cc(c23)c4c(cc3)C(=O)C(=O)C=C4,2.636792028
c1cccc(c2C)c1cc3ccc(c4c23)C(=O)C(=O)C=C4,2.645604167
CC1=CC(=O)C(=O)C=C1C,2.647711418
C1=CC(=O)C(=O)c(c1c23)ccc2cc4c(c3)cccc4,2.661504333
CC1=CC(C)=CC(=O)C1=O,2.661695901
Clc1ccc(Cl)c(c12)C(=O)C=CC2=O,2.663036879
Nc1ccc(N)c(c1=2)=C(N)C(=O)C(=O)C2N,2.663420015
COC1=CC=CC(=O)C1=O,2.666676675
Clc1cccc(c1c23)C(=O)C(=O)c2cccc3Cl,2.669550199
CC1=CC=C(C)C(=O)C1=O,2.671465882
CC1=C(C)C=CC(=O)C1=O,2.67165745
c1c(Cl)c(Cl)cc(c12)C(=O)c3c(C2=O)cc(Cl)c(Cl)c3,2.673573133
Clc1ccc(Cl)c(c1c23)c4c(C(=O)C=CC4=O)c2c(Cl)ccc3Cl,2.67491411
COC1C(=O)C(=O)C(OC)=c(c=12)c3c(cccc3)c4c2cccc4,2.677596066
Clc1ccc(Cl)c(c1c23)C(=O)C(=O)c2c(Cl)ccc3Cl,2.679703317
c1c(Cl)ccc(c12)C(=O)C=CC2=O,2.68046959
c1cc(Cl)cc(c1c23)C(=O)C(=O)c2cc(Cl)cc3,2.682193704
Cc1ccc(C)c(c12)c3c(c(=O)ccc3=O)c4c2c(=O)ccc4=O,2.682768409
c1cccc(c12)C(=O)C=C(Cl)C2=O,2.684492523
Cc1ccc(C)c(c12)c(=O)c3c(c2=O)c(=O)c4c(c3=O)c(C)ccc4C,2.686408206
c12c3c4c(=O)c(=O)c1cc(OC)cc2c(=O)c(=O)c3cc(c4)OC,2.687940752
COc(c1=O)c(OC)c(=O)c(c12)cc3c(c2)cc4c(c3)c(=O)ccc4=O,2.68813232
c1ccc(N)c(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)cccc4N,2.691580549
COC(=C1)C=CC(=O)C1=O,2.696369755
c1ccc(N)c(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)c(N)ccc4,2.699243279
c1cc(Cl)cc(c12)C=CC(=O)C2=O,2.702499939
Nc1cccc(c1=2)=C(N)C(=O)C(=O)C2N,2.705565031
c1cccc(c1=2)=C(N)C(=O)C(=O)C2N,2.7057566
c1cccc(c1c2=3)ccc2=C(N)C(=O)C(=O)C3N,2.706714441
c1c(N)c(N)cc(c(=O)c2=O)c1c(c23)c(=O)c(=O)c4c3cc(N)c(c4)N,2.707480714
CC1=CC(=O)C=CC1=O,2.708055419
COc(c1=O)c(OC)c(=O)c(c12)cc3c(c2)c(=O)c(OC)c(c3=O)OC,2.711120511
C1=CC(=O)C(=O)c(c12)cccc2Cl,2.712844625
c1c(Cl)ccc(c12)C=CC(=O)C2=O,2.712844625
c1cccc(c12)C(Cl)=CC(=O)C2=O,2.713227762
Nc1ccc(N)c(c12)c3c(c(=O)ccc3=O)c4c2c(=O)ccc4=O,2.724913425
O=c1c(C)c(C)c(=O)c(c12)c(C)c3c(c2C)c(=O)ccc3=O,2.726445971
O=c1c(=O)c(OC)c(OC)c2c(=O)c(=O)c(c3c12)c(OC)ccc3OC,2.730085768
Cc1ccc(C)c(c12)c(=O)c(=O)c3c2c4c(c(=O)c3=O)c(C)ccc4C,2.732576156
C1C(=O)C(=O)C=c(c=12)ccc(c2)N,2.735066543
Cc1ccc(C)c(c12)c(=O)c(=O)c3c2c(=O)c4c(c3=O)c(C)ccc4C,2.735066543
Clc1cccc(c12)C(=O)C=C(Cl)C2=O,2.736407521
c1cccc(c12)C=C(Cl)C(=O)C2=O,2.740813591
CC=1C(=O)C(=O)C(C)=c(c12)c(C)ccc2C,2.745794365
Clc1c(Cl)cc(Cl)c(c12)C(=O)C=CC2=O,2.749434162
COC1C(=O)C(=O)C(OC)=c(c=12)c(OC)ccc2OC,2.756139051
Nc1ccc(N)c(c1c23)c(=O)c(=O)c2c(=O)c(=O)cc3N,2.75843787
O=c1ccc(=O)c(cc2N)c1c(c23)c(N)cc4c3c(=O)ccc4=O,2.763035508
c1cccc(c12)C(=O)C(Cl)=C(Cl)C2=O,2.763610213
COC1C(=O)C(=O)C(OC)=c(c=12)ccc(c2)OC,2.763801781
O=c1ccc(=O)c(c1c23)ccc2c(=O)ccc3=O,2.763801781
CC1=CC(=O)C(=O)C=C1,2.764568054
CC1=CC=CC(=O)C1=O,2.767058442
O=c1ccc(=O)c(c(OC)c2OC)c1c3ccc(c4c23)c(=O)ccc4=O,2.767633146
O=c1c(=O)ccc(c1c23)ccc3ccc(=O)c2=O,2.771272943
c1c(Cl)c(Cl)cc(c12)C(=O)C=CC2=O,2.772805489
Nc1ccc(N)c(c1c23)c(=O)c(=O)c2c(=O)c(N)c(c3=O)N,2.777403127
Clc1c(Cl)c(Cl)c(Cl)c(c12)C(=O)C=CC2=O,2.794261134
c1c(Cl)c(Cl)cc(c12)C=CC(=O)C2=O,2.795602112
Clc1cccc(c12)C(=O)C(Cl)=C(Cl)C2=O,2.814184233
O=c1ccc(=O)c(c1c23)c(Cl)cc3cc(Cl)c4c2c(=O)ccc4=O,2.81552521
c12c3c4c(=O)c(=O)c1cccc2c(=O)c(=O)c3ccc4,2.818781871
O=c1ccc(=O)c(c12)cc3c(c2)cc4c(c3)c(=O)ccc4=O,2.820122849
c1cccc(c12)C(Cl)=C(Cl)C(=O)C2=O,2.820697553
O=C1C=CC(=O)C=C1,2.823187941
COc(cc1)cc(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)cc(cc4)OC,2.824720487
CC=1C(=O)C(=O)C(C)=c(c12)ccc(C)c2,2.827402442
O=c1ccc(=O)c(c1c23)cc(Cl)c2c(=O)ccc3=O,2.835831446
COc1ccc(OC)c(c12)c(=O)c(=O)c3c2cc(c(=O)c3=O)OC,2.842919471
