SMILESquinone,VoltageQuinone
COc1c(OC)c(=O)c(=O)c(c12)c(=O)c(=O)c(OC)c2OC,3.111115029
Cc(c1)ccc2C(=O)C(=O)c(c3c12)cccc3,2.358443352
COc1ccc(OC)c2c(=CC(=O)C(=O)C3)c=3c(c4c12)c(OC)ccc4OC,2.325302043
O=C1C(=O)C=CC=C1,2.864375116
c1cccc(c2Cl)c1cc(c23)C(=O)c4c(C3=O)cccc4,2.202123655
COc(c1)ccc(c12)C=CC(=O)C2=O,2.51016541
O=c1c(=O)c(Cl)cc(c1c23)cc(Cl)c2c(=O)ccc3=O,2.956902583
Cc1cccc2ccc(c3c12)C(=O)c4c(C3=O)cccc4,2.262467655
c1c(Cl)ccc(c12)C=CC(=O)C2=O,2.712844625
COc1ccc(OC)c(c12)c(=O)c(=O)c3c2cc(c(=O)c3=O)OC,2.842919471
Clc1ccc(Cl)c(c1=2)=C(Cl)C(=O)C(=O)C2Cl,3.505170932
C1C(=O)C(=O)C=c(c=12)ccc(c2)N,2.735066543
Clc1c(=O)c(=O)c(Cl)c(c12)c(Cl)c(Cl)c(=O)c2=O,3.686394502
c12c3c4c(=O)c(=O)c1cc(OC)cc2c(=O)c(=O)c3cc(c4)OC,2.687940752
Clc1ccc(Cl)c(c12)cc=3c(c2)=C(Cl)C(=O)C(=O)C3Cl,3.536971262
O=c1c(Cl)cc(=O)c(c12)c(Cl)cc(=O)c2=O,3.682946274
COc(c1=O)c(OC)c(=O)c(c12)cc(=O)c(=O)c2,3.171075894
c12c3c4c(=O)c(=O)c1c(Cl)ccc2ccc3ccc4Cl,2.417637943
COC1=CC=CC(=O)C1=O,2.666676675
COc(c1=O)cc(=O)c(c12)c(=O)cc(c2=O)OC,3.111498166
O=C1C=CC(=O)c(c12)c(N)c(N)c(N)c2N,2.105381685
O=c1c(=O)ccc(c12)c(Cl)c(Cl)c(=O)c2=O,3.693290959
ClC1C(=O)C(=O)C(Cl)=c(c=12)cc3c(c2Cl)cccc3,3.453255935
COC(C1=O)=C(OC)C(=O)C=C1OC,2.344267301
c1c(N)ccc(c12)C(=O)c3c(C2=O)cccc3,2.080860949
Clc1c(=O)c(=O)c(Cl)c(c12)c(=O)cc(Cl)c2=O,3.624901092
O=c1ccc(=O)c(c2OC)c1c(OC)c(c23)c(=O)ccc3=O,2.866482366
c1ccc(OC)c(c1c23)ccc2C(=O)c4c(C3=O)cccc4,2.274344887
O=c1ccc(=O)c(c2OC)c1c(OC)c(c23)c(OC)c(=O)c(=O)c3OC,3.128356172
COC1=C(OC)C(=O)C=CC1=O,2.561888839
NC1=C(N)C(=O)C(N)=C(C1=O)N,2.21361775
c1c(=O)c(=O)cc(c1c23)c4c(cc(Cl)cc4)c2cc(=O)c(=O)c3,3.430267744
O=c1c(Cl)cc(=O)c(c12)c(=O)c(Cl)c(Cl)c2=O,3.655935149
O=c1c(Cl)c(Cl)c(=O)c(c12)cc3c(c2)c(=O)c(Cl)c(Cl)c3=O,3.306897787
Clc1cccc(c12)C(=O)C=C(Cl)C2=O,2.736407521
Cc1ccc(C)c(c12)c3c(c(=O)ccc3=O)c4c2c(=O)ccc4=O,2.682768409
Clc1ccc(Cl)c(c12)C(=O)c3c(C2=O)c(Cl)ccc3,2.462081778
Nc1ccc(N)c(c12)cc=3c(c2)=C(N)C(=O)C(=O)C3N,2.618018338
Cc1c(C)c(=O)c(=O)c(c12)c(C)c(=O)c(=O)c2C,3.017438152
CC1=C(C)C=C(C)C(=O)C1=O,2.576639595
O=c1c(=O)cc(OC)c(c12)c(=O)c3c(c2=O)c(OC)ccc3OC,2.84847495
COc1cccc2ccc(c3c12)C(=O)C=CC3=O,2.361700012
Clc1ccc(Cl)c(c2=O)c1c(=O)c(c23)c(=O)c4c(c3=O)c(Cl)ccc4Cl,3.020503244
COc(c1=O)c(OC)c(=O)c(c12)cc3c(c2)cc4c(c3)c(=O)c(OC)c(c4=O)OC,2.52012696
O=c1c(=O)c(OC)cc(c2OC)c1c(OC)c(c23)cc(c(=O)c3=O)OC,2.930274596
COC1=CC(OC)=CC(=O)C1=O,2.405760711
Nc1ccc(N)c(c12)C(=O)c3c(C2=O)cccc3,1.981053887
c1cccc(c1c23)ccc2C(=O)C=CC3=O,2.586409576
CC1=C(C)C(=O)C=C(C)C1=O,2.50250268
Clc1cccc(c12)c3c(C(=O)C2=O)c(Cl)ccc3,2.485453105
c12c3c4c(=O)c(=O)c1c(Cl)cc(Cl)c2c(=O)c(=O)c3c(Cl)cc4Cl,2.917822659
COc(c1=O)c(OC)c(=O)c(c12)c(=O)c(OC)c(c2=O)OC,2.958243561
c1cccc2c1c(=O)c(=O)c(c23)c(=O)c(=O)c4c3cccc4,2.935638507
O=c1c(=O)ccc(c12)c(=O)c(Cl)c(Cl)c2=O,3.645398895
C1C(=O)C(=O)C=c(c=12)c(Cl)c(Cl)c(Cl)c2Cl,3.424903833
Nc1cc(N)cc(c12)C(=O)c3c(C2=O)cccc3,1.972241747
COc1cc(OC)cc2C(=O)C(=O)c(c3c12)cc(cc3)OC,2.292927008
COc1cccc(c12)C(=O)C=CC2=O,2.378749587
c1c(Cl)ccc(c12)C(=O)c3c(C2=O)cc(Cl)cc3,2.523958325
Clc1c(=O)c(=O)c(Cl)c(c12)c(=O)c(=O)c3c2cccc3,3.399999959
c1cccc(c12)C(=O)c3c(C2=O)cccc3,2.281241344
O=C1C(Cl)=C(Cl)C=CC1=O,3.112839144
Clc1ccc(Cl)c(c12)C(Cl)=CC(=O)C2=O,2.863800411
NC1C(=O)C(=O)C(N)=c(c=12)c(N)c3c(c2N)cccc3,2.326259885
COc(c1)ccc(c12)C(=O)c3c(C2=O)cc(cc3)OC,2.162085889
Clc1c(Cl)c(Cl)c(Cl)c(c12)C(=O)C=CC2=O,2.794261134
O=c1ccc(=O)c(c12)c(=O)c3c(c2=O)cc(Cl)c(Cl)c3,3.371264721
COc1ccc(OC)c(c12)C(=O)C=CC2=O,2.206912861
COc1c(=O)c(=O)cc2c(OC)c(OC)c(c3c12)cc(=O)c(=O)c3OC,2.85728709
O=C1C(=O)C(OC)=C(OC)c(c12)cccc2,2.34541671
Nc1ccc(N)c(c12)c(=O)c3c(c2=O)cc(=O)c(=O)c3,3.036594978
c1c(N)ccc(c12)C(=O)C=CC2=O,2.328750272
Clc1c(=O)c(=O)c(Cl)c(c12)c(=O)c3c(c2=O)c(Cl)ccc3Cl,3.534864012
O=c1c(=O)cc(Cl)c(c1c23)c4c(c(Cl)ccc4Cl)c2c(Cl)cc(=O)c3=O,3.082379791
Cc1cc(C)cc(c12)C(=O)C(=O)C(C)=C2,2.420511466
Nc1c(N)ccc(c12)C(=O)c3c(C2=O)cccc3,2.057489621
O=c1ccc(=O)c(cc2N)c1c(c23)c(N)cc4c3c(=O)ccc4=O,2.763035508
c1c(=O)c(=O)cc(c2C)c1c(C)c(c23)cc4c(c3)c(=O)ccc4=O,3.405747007
COc1ccc(OC)c(c12)c(=O)c3c(c2=O)c(=O)ccc3=O,2.953837491
O=c1c(Cl)cc(=O)c(c12)c(=O)c3c(c2=O)c(Cl)ccc3Cl,3.310346016
O=c1ccc(=O)c(c1c23)c(OC)c(OC)c3c(OC)c(OC)c4c2c(=O)ccc4=O,2.55633336
CC1=CC(=O)C=C(C)C1=O,2.599436218
COc1cc(OC)cc(c12)C(=O)C=C(C2=O)OC,2.071282536
COc(c1)ccc(c12)C(=O)c3c(C2=O)cccc3,2.214958728
O=C1C(=O)C(N)=CC=C1N,2.495606223
Cc1c(C)c(C)c(C)c(c12)C(=O)C=CC2=O,2.26304236
CC1=CC(C)=CC(=O)C1=O,2.661695901
COC1C(=O)C(=O)C(OC)=c(c=12)c3c(cccc3)c4c2cccc4,2.677596066
O=c1cc(N)c(=O)c(c12)ccc(=O)c2=O,3.323947362
Clc1cccc(c1c23)C(=O)C(=O)c2cccc3Cl,2.669550199
Nc1cccc(c1=2)=C(N)C(=O)C(=O)C2N,2.705565031
O=C1C(=O)C=C(N)c(c12)cccc2N,2.082393495
CC=1C(=O)C(=O)C(C)=c(c12)cccc2,2.908244246
COc1c(=O)c(=O)c(OC)c(c12)c(=O)c3c(c2=O)cccc3,3.142532223
c1cccc(c2Cl)c1cc(c23)cc4c(c3)C=CC(=O)C4=O,2.427407924
COc1c(OC)c(=O)c(=O)c(c12)c(=O)ccc2=O,3.210730522
COc(c1=O)c(OC)c(=O)c(c12)c(=O)c(=O)c3c2cccc3,2.975293136
Clc1c(Cl)c(Cl)cc(c12)C(=O)c3c(C2=O)cccc3,2.516678731
Clc1cccc(c12)C(=O)c3c(C2=O)cccc3Cl,2.405760711
O=C1C(Cl)=C(Cl)C(=O)C=C1Cl,3.17912176
Clc1c(=O)c(=O)c(Cl)c(c12)c(=O)c3c(c2=O)cc(Cl)c(Cl)c3,3.584097053
COc(c1=O)c(OC)c(=O)c(c12)c(=O)ccc2=O,3.136976744
c1c(=O)c(=O)cc(c1c23)cc(Cl)c2cc(=O)c(=O)c3,3.42739422
O=c1ccc(=O)c(c1c23)c(Cl)cc3c(Cl)cc4c2c(=O)ccc4=O,2.854605135
COC(C1=O)=C(OC)C(=O)c(c12)c(OC)ccc2OC,2.269364113
Cc1ccc(C)c(c12)c(=O)c(=O)c3c2c(=O)c(C)cc3=O,2.981806457
c1c(N)ccc(c12)C(=O)C=C(C2=O)N,2.123772238
COc1cccc(c12)C(=O)c3c(C2=O)cccc3,2.143695337
Nc1c(=O)c(=O)c(N)c(c12)c(=O)c3c(c2=O)cccc3,3.099046229
COc1cccc(c12)C(=O)c3c(C2=O)cccc3OC,2.000210713
Clc1c(=O)c(=O)c(Cl)c(c12)c(=O)ccc2=O,3.548082221
c1cc(C)cc(c12)C=CC(=O)C2=O,2.495223086
c1c(=O)c(=O)cc(c1c23)c(C)cc3cc(C)c(=O)c2=O,3.340996937
COc(c1)ccc(c12)C(=O)c3c(C2=O)ccc(c3)OC,2.128944581
O=c1c(Cl)c(Cl)c(=O)c(c12)cc3c(c2)c(=O)ccc3=O,3.169543347
Cc1cccc(c12)C=C(C)C(=O)C2=O,2.418021079
c1cccc(c12)C(=O)C=C(Cl)C2=O,2.684492523
