SMILEScsa,VoltageCSA
CS(=O)(=O)\N=C\1C=C(N)C(=N/S(=O)(=O)C)\c2ccc(c3c12)cc(N)cc3,2.373902404
CS(=O)(=O)\N=C\1C(N)=C(N)C(=N/S(=O)(=O)C)\c(c1c23)c(N)cc2c(N)c(N)cc3N,2.053352112
N#Cc1cc(C#N)c(C#N)c(c12)c3c(cc2C#N)/C(=N/S(=O)(=O)C)C=CC\3=N/S(=O)(=O)C,3.403179052
COc1c(OC)ccc(c12)c3c(/C(=N/S(=O)(=O)C)C\2=N\S(=O)(=O)C)cc(OC)c(c3)OC,2.436564816
CS(=O)(=O)/N=C(C1)/C(=N\S(=O)(=O)C)C=c(c2)c=1cc(c23)c(F)ccc3F,3.419516776
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=C(N)c(c1c23)c(N)c(N)c2ccc(N)c3N,2.210731965
N#Cc1c(C#N)ccc(c12)/C(=N\S(=O)(=O)C)C(\C(C#N)=C2C#N)=N\S(=O)(=O)C,3.673268523
N#Cc1c(C#N)ccc2ccc(c3c12)/C(=N/S(=O)(=O)C)/C(C=C3C#N)=N/S(=O)(=O)C,3.396354432
CS(=O)(=O)\N=C(C=C1)\C(=N/S(=O)(=O)C)\c(c(C#N)c2C#N)c1c(c23)cc(C#N)cc3C#N,3.385186874
Clc1cc(Cl)cc(c12)C(=N/S(=O)(=O)C)\c3c(C\2=N\S(=O)(=O)C)cccc3Cl,2.536866037
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc(c2N)c1cc(c23)c(N)ccc3,2.503156554
CS(=O)(=O)\N=C\1C(=N\S(=O)(=O)C)\C(C)=C(C)c(c2C)c1c(C)c(c23)cccc3C,2.295109074
Fc1c(F)cc(F)c2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)ccc(F)c3F,2.64254423
Cc(c1)cc(C)c(cc2C)c1c(c23)C(C)=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,2.647507589
c1cccc(c2OC)c1cc(c23)/C(=N/S(=O)(=O)C)C=C(OC)C\3=N/S(=O)(=O)C,2.466965392
COc1cc(OC)c(OC)c2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)c(OC)ccc3OC,2.268637824
N#CC1=C(C#N)/C(=N/S(=O)(=O)C)C=CC\1=N/S(=O)(=O)C,3.62301451
c1ccc(C)c(cc2C)c1c(c23)C=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,2.788342911
CS(=O)(=O)\N=C\1C=C(N)C(=N/S(=O)(=O)C)\c(c1c23)c(N)c(N)c2cc(N)cc3N,2.286836809
CS(=O)(=O)\N=C\1C(=N\S(=O)(=O)C)\C(C#N)=C(C#N)c2ccc(c3c12)ccc(C#N)c3,3.526849422
COc1c(OC)cc(OC)c(c12)/C(=N\S(=O)(=O)C)c3c(C\2=N\S(=O)(=O)C)cccc3,2.35384216
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc(c12)c(N)c3c(c2N)cc(N)c(c3)N,2.229964983
CS(=O)(=O)\N=C\1C(=N\S(=O)(=O)C)\C(C#N)=C(C#N)c(c(C#N)c2C#N)c1c(c23)c(C#N)ccc3C#N,3.923297751
Cc1cc(C)cc(c12)C(=N\S(=O)(=O)C)\C(C)=CC\2=N/S(=O)(=O)C,2.563957706
CS(=O)(=O)/N=C(\C=1C)C(=N/S(=O)(=O)C)\C(C)=c2cc(C)c(c3c12)ccc(C)c3,2.825154493
COC1/C(=N\S(=O)(=O)C)/C(=N\S(=O)(=O)C)C=c(c=12)cc3c(c2)cccc3,3.126264961
N#Cc(c1)ccc(c(C#N)c2C#N)c1c(c23)C=C(C#N)/C(=N\S(=O)(=O)C)C\3=N/S(=O)(=O)C,3.556215965
COc1c(OC)c(OC)cc2c1/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c(c23)c(OC)c(OC)cc3OC,2.273601184
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc2c1c(Cl)c(Cl)c(c23)cccc3Cl,2.982120732
Cc1c(C)c(C)cc(c12)cc3c(c2)/C(=N/S(=O)(=O)C)C=C(C)/C3=N\S(=O)(=O)C,2.545345109
CS(=O)(=O)\N=C\1C=C(OC)C(=N/S(=O)(=O)C)\c(c1c23)c(OC)c(OC)c2cc(OC)cc3OC,2.32923217
N#Cc1c(C#N)ccc(c2C#N)c1cc(c23)=C(C#N)/C(=N\S(=O)(=O)C)C(\C=3C#N)=N/S(=O)(=O)C,4.202279908
CS(=O)(=O)/N=C(\C1F)/C(=N\S(=O)(=O)C)C=c2cc(F)c(c3c=12)cccc3,3.162662929
CS(=O)(=O)/N=C\1/C(=N/S(=O)(=O)C)C(N)=Cc(c12)c(N)c(N)cc2N,2.072171516
CS(=O)(=O)\N=C\1C=C(C)/C(=N\S(=O)(=O)C)c(c(C)c2C)c1c(c23)ccc(C)c3C,2.390240129
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=Cc(c12)c3c(cc2F)cccc3,2.907877149
CS(=O)(=O)/N=C(C1Cl)/C(=N\S(=O)(=O)C)C(Cl)=c(c2Cl)c=1cc(c23)cccc3Cl,3.458396424
CS(=O)(=O)\N=C\1C(=N\S(=O)(=O)C)\C(C)=C(C)c(c2C)c1c(C)c(c23)cc(C)cc3C,2.278564543
N#CC1=C/C(=N/S(=O)(=O)C)C=CC\1=N/S(=O)(=O)C,3.330589921
COc1c(OC)c(OC)cc2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)c(OC)c(cc3)OC,2.490127736
CS(=O)(=O)\N=C\1C(N)=CC(=N/S(=O)(=O)C)\c(c1c23)cc(N)c2cc(N)cc3N,2.22769011
Cc1c(C)c(C)cc(c12)c(C)c=3c(c2)=CC(=N\S(=O)(=O)C)/C(C3)=N\S(=O)(=O)C,3.217673495
CS(=O)(=O)\N=C(C(N)=C1N)\C(=N/S(=O)(=O)C)\c(c2)c1cc(c23)cc(N)c(N)c3N,2.195221467
COc1cc(OC)c(OC)c2/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c(c3c12)c(OC)c(OC)cc3OC,2.410713986
CS(=O)(=O)\N=C\1C(=N\S(=O)(=O)C)\C(C#N)=C(C#N)c2ccc(c3c12)cc(C#N)c(C#N)c3,3.640179461
c1cc(C)c(C)c(c1c23)/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c3cc(C)cc2C,2.316203352
Cc1c(C)cc(C)c2cc(C)c(c3c12)/C(=N/S(=O)(=O)C)C=C(C)/C3=N\S(=O)(=O)C,2.450834474
CS(=O)(=O)\N=C1\C(F)=C/C(C=C1)=N/S(=O)(=O)C,3.120887988
CS(=O)(=O)\N=C(C(F)=C1)\C(=N/S(=O)(=O)C)\c(c2F)c1cc(c23)ccc(F)c3F,2.800544503
Cc1ccc(C)c(c12)/C(=N\S(=O)(=O)C)/C(C=C2C)=N/S(=O)(=O)C,2.349499221
Cc1c(C)c(C)cc(c12)cc3c(c2C)C(C)=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,2.531282257
CS(=O)(=O)\N=C(C(Cl)=C1Cl)\C(=N/S(=O)(=O)C)\c2c1c(Cl)c(Cl)c(c23)c(Cl)cc(Cl)c3Cl,2.987290898
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=C(N)c(c12)cc3c(c2)cc(N)cc3,2.27628967
COc1c(OC)c(OC)cc(c12)C(=N/S(=O)(=O)C)\c3c(C\2=N\S(=O)(=O)C)cc(OC)c(OC)c3OC,2.15137846
CS(=O)(=O)\N=C(C(N)=C1N)\C(=N/S(=O)(=O)C)\c2cc(N)c(c3c12)cccc3,2.349499221
CS(=O)(=O)\N=C\1C=C(F)C(=N/S(=O)(=O)C)\c(c12)c(F)cc3c2cc(F)cc3F,2.863206914
CS(=O)(=O)\N=C(C(N)=C1N)\C(=N/S(=O)(=O)C)\c(c2)c1cc(c23)c(N)cc(N)c3N,2.24857758
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C=C(OC)c(c1c23)c(OC)c(OC)c2cccc3OC,2.447939181
COc1c(OC)ccc(c1c23)/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c2c(OC)c(OC)cc3OC,2.404096174
COc(cc1)cc(c2OC)c1c(OC)c(c23)C(OC)=CC(=N/S(=O)(=O)C)\C\3=N/S(=O)(=O)C,2.426224484
Cc1c(C)c(C)c(C)c(c12)C(=NS(=O)(=O)C)c3c(C2=NS(=O)(=O)C)c(C)c(C)c(C)c3C,2.002891292
Cc1cc(C)cc2/C(=N/S(=O)(=O)C)C(=N\S(=O)(=O)C)\c(c3c12)cccc3C,2.410713986
CS(=O)(=O)/N=C\1c(cc(N)cc2)c2C(=N\S(=O)(=O)C)\c(c13)c(N)ccc3N,2.008888685
Cc1c(C)c(C)cc(c12)C(=N/S(=O)(=O)C)\c3c(C\2=N\S(=O)(=O)C)cccc3C,2.17722929
CS(=O)(=O)\N=C\1C=C(C#N)/C(=N\S(=O)(=O)C)c(c(C#N)c2C#N)c1c(c23)cc(C#N)cc3C#N,3.530778748
CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=C(N)c(c12)cc3c(c2N)cccc3,2.1993576
