Voltage,SMILES
2.7,OC1=CC=C(O)C(C2=C3C=CC=CC3=C(C4=C(O)C=CC(O)=C4)C5=C2C=CC=C5)=C1
2.7,O=C1C=CC(C(C2=C3C=CC=CC3=C(C(C(C=C4)=O)=CC4=O)C5=C2C=CC=C5)=C1)=O
2.7,[Li]OC1=CC=C(O[Li])C(C2=C3C=CC=CC3=C(C4=C(O[Li])C=CC(O[Li])=C4)C5=C2C=CC=C5)=C1
2.7,OC1=CC=C(C=C1C2=CC(C3=C(C=CC(O)=C3)O)=CC=C2)O
2.7,O=C1C=CC(C=C1C2=CC(C(C(C=C3)=O)=CC3=O)=CC=C2)=O
2.7,[Li]OC1=CC=C(C=C1C2=CC(C3=C(C=CC(O[Li])=C3)O[Li])=CC=C2)O[Li]
2.5,OC1=CC=C(O)C=C1C2=CC=C(C=C2)C3=C(O)C=CC(O)=C3
2.5,O=C1C=CC(C=C1C2=CC=C(C=C2)C(C(C=C3)=O)=CC3=O)=O
2.5,[Li]OC1=CC=C(O[Li])C=C1C2=CC=C(C=C2)C3=C(O[Li])C=CC(O[Li])=C3
3,O=C1C=CC(C2=C1C(C=CC2=O)=O)=O
3,O=C1C=CC(C2=C1C(O)=CC=C2O)=O
3,O=C1C=CC(C2=C1C(O[Li])=CC=C2O[Li])=O
2.8,O=C1C2=C(SC3=C(S2)C(=O)C2=C(C3=O)C(O)=CC=C2O)C(=O)C2=C1C(O)=CC=C2O
2.8,O=C1C2=C(C(C3=C1C(C=CC3=O)=O)=O)SC4=C(C(C5=C(C(CCC5=O)=O)C4=O)=O)S2
2.8,O=C1C2=C(C(C3=C1C(O[Li])=CC=C3O[Li])=O)SC4=C(C(C5=C(C(O[Li])=CC=C5O[Li])C4=O)=O)S2
1.36,OC(C1=CC=C(C=C1)/N=N/C2=CC=CC=C2)=O
1.36,OC(C1=CC=C(NNC2=CC=CC=C2)C=C1)=O
1.36,O=C(C1=CC=C(N(N(C2=CC=CC=C2)[Li])[Li])C=C1)O[Li]
1.36,O=C(C1=CC=C(/N=N/C2=CC=CC=C2)C=C1)O[Li]
1.85,C1(/N=N/C2=CC=CC=C2)=CC=CC=C1
1,CC(C#N)(/N=N/C(C)(C#N)C)C
0.3,NC(/N=N/C(N)=O)=O
0.8,CC(C(N)=N)(/N=N/C(C)(C(N)=N)C)C
1.55,O=C(O)C1=CC=C(NNC2=CC=C(C=C2)C(O)=O)C=C1
1.55,O=C(C1=CC=C(C=C1)OOC2=CC=C(C(O[Li])=O)C=C2)O[Li]
1.55,O=C(O)C1=CC=C(/N=N/C2=CC=C(C=C2)C(O)=O)C=C1
1.55,O=C(O[Li])C1=CC=C(/N=N/C2=CC=C(C=C2)C(O[Li])=O)C=C1
1.6,CN(C1=CC=C(C=C1)NNC2=C(C=CC=C2)C(O)=O)C
1.6,CN(C)C1=CC=C(N(N(C2=C(C(O[Na])=O)C=CC=C2)[Li])[Li])C=C1
1.6,CN(C1=CC=C(C=C1)/N=N/C2=C(C=CC=C2)C(O)=O)C
1.6,CN(C)C1=CC=C(/N=N/C2=C(C(O[Na])=O)C=CC=C2)C=C1
1.75,O=C1N([Li])C(O[Li])=C2C1=CC(C3=C2)=C(O[Li])N([Li])C3=O
1.75,O=C1NC(O)=C2C1=CC(C3=C2)=C(O)NC3=O
1.75,O=C1N(C(C2=C1C=C(C(N(C3=O)[Li])=O)C3=C2)=O)[Li]
2.33,O=C1N([Li])C(O[Li])=C2C(C3=C4C=C2)=C1C=CC3=C(O[Li])N([Li])C4=O
2.33,O=C1NC(C2=C(C3=C4C=C2)C1=CC=C3C(NC4=O)=O)=O
2.33,O=C1NC(O)=C2C(C3=C4C=C2)=C1C=CC3=C(O)NC4=O
2.33,O=C1N(C(C2=C(C1=CC=C3C(N(C4=O)[Li])=O)C3=C4C=C2)=O)[Li]
2.3,O=C1N(C(O[Li])=C2C=CC3=C4C2=C1C=CC4=C(O[Li])N(C3=O)C(O[Na])=O)C(O[Na])=O
2.3,O=C1N(C(O)=C2C=CC3=C4C2=C1C=CC4=C(O)N(C3=O)C(O)=O)C(O)=O
2.3,O=C1N(C(C2=C(C1=CC=C3C(N(C4=O)C(O)=O)=O)C3=C4C=C2)=O)C(O)=O
2.3,O=C1N(C(C2=C(C1=CC=C3C(N(C4=O)C(O[Na])=O)=O)C3=C4C=C2)=O)C(O[Na])=O
2.25,O=C1N(S(O)=O)C(O)=C2C(C3=C4C=C2)=C1C=CC3=C(O)N(S(O)=O)C4=O
2.25,O=C1N(S(O)=O)C(C2=C(C3=C4C=C2)C1=CC=C3C(N(S(O)=O)C4=O)=O)=O
2.25,O=C1N(S(O[Na])=O)C(O[Li])=C2C(C3=C4C=C2)=C1C=CC3=C(O[Li])N(S(O[Na])=O)C4=O
2.25,O=C1N(S(O)=O)C(C2=C(C3=C4C=C2)C1=CC=C3C(N(S(O)=O)C4=O)=O)=O
2.25,O=C1N(S(O[Na])=O)C(C2=C(C3=C4C=C2)C1=CC=C3C(N(S(O[Na])=O)C4=O)=O)=O
2.13,O=C(O[Li])CN(C(O[Li])=C(C=C1)C2=C3C1=C4C=C5)C(O[Li])=C2C=CC3=C(C=CC6=C(O[Li])N7CC(O[Li])=O)C4=C6C5=C7O[Li]
2.13,OC(N(CC(O)=O)C(O)=C(C=C1)C2=C3C1=C4C=C5)=C2C=CC3=C(C=CC6=C(O)N7CC(O)=O)C4=C6C5=C7O
2.13,OC(N(CC(O[Li])=O)C(O)=C(C=C1)C2=C3C1=C4C=C5)=C2C=CC3=C(C=CC6=C(O)N7CC(O[Li])=O)C4=C6C5=C7O
2.13,O=C(N(C1=O)CC(O[Li])=O)C2=CC=C3C4=C2C1=CC=C4C(C=CC(C5=O)=C67)=C6C3=CC=C7C(N5CC(O[Li])=O)=O
2.7,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=CC=C3C4=CC=C5C6=CC=C7C(=O)N(C8=C(C(C)C)C=CC=C8C(C)C)C(=O)C8=C7C6=C(C=C8)C6=C5C4=C(C=C6)C4=CC=C(C1=O)C2=C34
2.42,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=CC=C3C4=CC=C5C(=O)N(C6=C(C(C)C)C=CC=C6C(C)C)C(=O)C6=C5C4=C(C=C6)C4=C3C2=C(C=C4)C1=O
2.82,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=CC=C3C4=CC=C5C(=O)N(C6=C(C(C)C)C=CC=C6C(C)C)C(=O)C6=C5C4=C(C(C4=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C4)=C6)C4=C3C2=C(C=C4)C1=O
2.44,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=CC3=C4C5=C(C=CC(=C25)C1=O)C1=C2C5=C(C=C1C1=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C1)C(=O)N(C1=C(C(C)C)C=CC=C1C(C)C)C(=O)C5=CC(=C42)C1=C3C(=O)N(C2=C(C(C)C)C=CC=C2C(C)C)C1=O
1.95,CC(C)C1=CC=CC(C(C)C)=C1N1C(=O)C2=CC=C3C4=CC=C5C(=O)N(C6=C(C(C)C)C=CC=C6C(C)C)C(=O)C6=C5C4=C4C(=C6)C5=C(C(=O)N(C6=C(C(C)C)C=CC=C6C(C)C)C5=O)C5=CC(=C2C3=C54)C1=O
