SMILES,Voltage
C(c1c(C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])c2c1C(C([H])([H])[H])=C([H])C(=N\S(=O)(=O)C([H])([H])[H])/C2=N/S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.276703283
O=P(c1c([H])c(N2c3c([H])c([H])c([H])c([H])c3N(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c([H])c1[H])(O[H])O[H],3.3
N#CC1=C(C#N)C(=N\S(=O)(=O)C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c1c(C#N)c([H])c1c2c([H])c([H])c([H])c1C#N,3.666857518
N#Cc1c([H])c(N2c3c([H])c([H])c([H])c([H])c3N(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c32)c([H])c([H])c1[H],3.29
O=c1c(N([H])[H])c([H])c(=O)c2c(=O)c([H])c(N([H])[H])c(=O)c1=2,3.038127524
C(c1c(C([H])([H])[H])c(C([H])([H])[H])c(C([H])([H])[H])c2c1c(C([H])([H])[H])c1c(c2[H])=C(C([H])([H])[H])C(=N\S(=O)(=O)C([H])([H])[H])/C(=N\S(=O)(=O)C([H])([H])[H])C=1C([H])([H])[H])([H])([H])[H],2.938898145
C(c1c([H])c(C([H])([H])[H])c([H])c2c(C([H])([H])[H])c3c(c([H])c12)/C(=N/S(=O)(=O)C([H])([H])[H])C(C([H])([H])[H])=C([H])/C3=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.448145988
N(c1c([H])c([H])c(N([H])[H])c2c1c([H])c1c(c2[H])=C(N([H])[H])C(=O)C(=O)C=1N([H])[H])([H])[H],2.618018338
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C([H])=C([H])c2c(Cl)c3c(c([H])c2\1)c(Cl)c([H])c([H])c3[H])([H])([H])[H],2.847282803
C(S(=O)(=O)/N=C1\C([H])=C(N([H])[H])c2c(c([H])c([H])c3c2c([H])c([H])c([H])c3N([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.50956756
O=C(O[H])C1([H])C([H])([H])C([H])([H])C(C(=O)O[H])([H])C([H])([H])C1([H])[H],0.9
O=C(/C(=C(/C(O[H])=O)[H])[H])O[H],1.0
c1([H])c([H])c([H])c([H])c2c1c1c(c([H])c2Cl)=C(Cl)C(=O)C(=O)C=1Cl,3.222224618
C(c1c(C([H])([H])[H])c([H])c([H])c2c1C(=N\S(=O)(=O)C([H])([H])[H])/C(=N/S(=O)(=O)C([H])([H])[H])C([H])=C2C([H])([H])[H])([H])([H])[H],2.383622316
