Voltage,SMILES,smiles,Voltage_Binned
2.353845713,c1cccc(c2OC)c1cc(c23)C(=O)C=CC3=O,COc1c2c(cc3ccccc13)C(=O)C=CC2=O,low
2.864654561,Cc1cc(C)c(C)c2cc(C)c(c3c12)=CC(=N\S(=O)(=O)C)\C(\C=3C)=N\S(=O)(=O)C,CC1=c2c(c(C)cc3c(C)c(C)cc(C)c23)=CC(=N/S(C)(=O)=O)/C1=N/S(C)(=O)=O,medium
2.2,O=C1C2=C(SC3=C(SSC3=S)S2)C(=O)C2=C1SC1=C(SSC1=S)S2,O=c1c2sc3ssc(=S)c3sc2c(=O)c2sc3ssc(=S)c3sc12,low
2.497365968,COc1c(OC)ccc2c(OC)cc(c3c12)/C(=N/S(=O)(=O)C)C(OC)=CC\3=N/S(=O)(=O)C,COC1=C/C(=N\S(C)(=O)=O)c2c(cc(OC)c3ccc(OC)c(OC)c23)/C1=N/S(C)(=O)=O,low
2.3,CC1=C(C(C)=C(C(O[Li])=C1C)C)O[Li],[Li]Oc1c(C)c(C)c(O[Li])c(C)c1C,low
2.149442384,c1cccc(c12)C(=O)C(N)=C(C2=O)N,NC1=C(N)C(=O)c2ccccc2C1=O,low
3.099046229,Nc1c(=O)c(=O)c(N)c(c12)c(=O)c3c(c2=O)cccc3,Nc1c2c(=O)c3ccccc3c(=O)c-2c(N)c(=O)c1=O,medium
2.232239856,CS(=O)(=O)\N=C\1/C(=N/S(=O)(=O)C)C(N)=C(N)c(c12)c(N)cc3c2cc(N)c(N)c3N,CS(=O)(=O)/N=C1C(=N\S(C)(=O)=O)\C(N)=C(N)c2c(N)cc3c(N)c(N)c(N)cc3c2\1,low
3.771501677,N#CC1=C(C#N)/C(=N\S(=O)(=O)C)C(=N/S(=O)(=O)C)\c(c2C#N)c1c(C#N)c(c23)cc(C#N)cc3C#N,CS(=O)(=O)/N=C1C(=N\S(C)(=O)=O)\C(C#N)=C(C#N)c2c\1c(C#N)c1c(C#N)cc(C#N)cc1c2C#N,high
2.6,CC1=CC2=C(N(C3=NC(NC(C3=N2)=O)=O)C[C@@H]([C@@H]([C@@H](CO)O)O)O)C=C1Br,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1Br,low
