SMILES,Voltage
C(S(=O)(=O)/N=C1\C(N([H])[H])=C(N([H])[H])c2c(c([H])c3c(c2[H])c(N([H])[H])c([H])c([H])c3N([H])[H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.296763528
O(c1c([H])c([H])c(O[H])c(-c2c(O[H])c([H])c([H])c(O[H])c2[H])c1[H])[H],2.8
O=C1c2c(c([H])c([H])c([H])c2[H])C(=O)c2c1c([H])c([H])c([H])c2S(=O)(=O)O[Na],2.25
O(/N=C1C(=N/O[H])\C(OC([H])([H])[H])(OC([H])([H])[H])C(=N/O[H])/C(=N\O[H])C\1(OC([H])([H])[H])OC([H])([H])[H])[H],3.2
O=c1c2c([H])c3c(=O)c4c(c(=O)c3c([H])c2c(=O)c2c1c([H])c([H])c([H])c2[H])c([H])c([H])c([H])c4[H],2.5
C(S(=O)(=O)/N=C1\C(N([H])[H])=C([H])/C(=N\S(=O)(=O)C([H])([H])[H])c2c1c1c(c(N([H])[H])c2[H])c([H])c([H])c([H])c1N([H])[H])([H])([H])[H],2.284768742
O(C(c1c([H])c([H])c(C(O[H])=O)c([H])n1)=O)[H],1.15
C(c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c2c([H])c([H])c3c(c12)/C(=N/S(=O)(=O)C([H])([H])[H])C(C([H])([H])[H])=C(C([H])([H])[H])/C3=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.456831867
C(c1c(C([H])([H])[H])c(C([H])([H])[H])c([H])c2c1-c1c(c(C([H])([H])[H])c([H])c([H])c1[H])C(=N\S(=O)(=O)C([H])([H])[H])/C2=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],2.308137893
C(S(=O)(=O)/N=C1C(=N\S(=O)(=O)C([H])([H])[H])\C(N([H])[H])=C([H])c2c\1c1c(c([H])c2[H])c(N([H])[H])c(N([H])[H])c([H])c1N([H])[H])([H])([H])[H],2.581743077
C(S(=O)(=O)/N=C1\C([H])=c2c(c([H])c(C([H])([H])[H])c3c2c([H])c([H])c([H])c3C([H])([H])[H])=C([H])\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.096277998
Brc1noc2c(c1=O)C(=O)c1nonc1C2=O,2.9915
C(S(=O)(=O)/N=C1\C([H])=C([H])c2c(c(C#N)c3c(c2C#N)c(C#N)c([H])c([H])c3C#N)\C1=N\S(=O)(=O)C([H])([H])[H])([H])([H])[H],3.297500858
